%time,field.layout.data_offset,field.data0,field.data1
1548930428906695206,0,2.61885370314,42.4650011361
1548930429028849247,0,2.91714588925,35.9960018992
1548930429108702499,0,7.04577618092,87.0470044613
1548930429230653801,0,6.17258898914,74.266002655
1548930429310705575,0,3.4249394387,43.9540026784
1548930429434178667,0,6.83258707821,77.6450037956
1548930429534519970,0,5.51746399701,73.0300029516
1548930429635589263,0,5.40184380114,77.4320042133
1548930429736695368,0,2.42530884966,46.2310020328
1548930429740868783,0,1.80792571232,40.5500023365
1548930429837490346,0,1.80792571232,40.5500023365
1548930429938574386,0,3.81900562719,55.4910025597
1548930430039461937,0,3.37876589596,50.6530025005
1548930430140531414,0,6.43068903312,76.7280032039
1548930430241557538,0,5.33386165649,63.876003623
1548930430342363117,0,3.54720524698,55.3220014572
1548930430443437080,0,6.06858330965,60.8880021572
1548930430544498028,0,5.84464816377,78.6430039406
1548930430645438044,0,6.00057764724,67.5280037224
1548930430746502082,0,1.81315795332,26.1990012825
1548930430847554799,0,2.0249481611,32.9790011644
1548930430948372506,0,3.69585135579,60.5550034046
1548930431049320135,0,3.35296322219,42.4450013936
1548930431150301869,0,6.4120267015,84.1480031013
1548930431251293534,0,5.44015279971,81.4320048094
1548930431352555422,0,3.9699677527,50.4570020437
1548930431453466299,0,5.54680074751,57.7090029716
1548930431554359822,0,5.87872863188,71.2330029607
1548930431655363109,0,5.87847867236,69.6550035477
1548930431735312764,0,1.80424670875,36.9600024223
1548930431857178803,0,2.42073568515,48.3590021133
1548930431937176208,0,3.7889662534,57.0440030694
1548930432038207654,0,2.86777182668,44.2870016098
1548930432139117991,0,6.47154380102,80.8870033026
1548930432240303332,0,4.62314592768,52.0570019484
1548930432263419292,0,3.93847951293,50.1590027213
1548930432341054875,0,3.93847951293,50.1590027213
1548930432442234911,0,5.30927133188,63.115003109
1548930432564308408,0,6.39677249268,80.4110029936
1548930432644226587,0,4.58768680599,64.6120029092
1548930432766045662,0,2.22073331941,40.879001379
1548930432845964519,0,2.76947314478,48.0890026093
1548930432967995588,0,3.89681303501,62.2470021248
1548930433048157934,0,2.87446970027,39.9530023336
1548930433170038626,0,6.44736991078,86.9190044403
1548930433249958814,0,4.42163838679,57.6290017366
1548930433371997173,0,3.9363989085,48.2840031385
1548930433451880392,0,5.13622032106,69.8320032954
1548930433574050020,0,6.53073498607,79.8410041332
1548930433653892210,0,4.58176065981,69.3930034637
1548930433775859249,0,2.30455848202,51.0470029116
1548930433855994814,0,3.31232005171,47.8060028553
1548930433977874497,0,3.8429727772,54.1110028028
1548930434057800461,0,3.46419928595,40.1700017154
1548930434179877754,0,6.04530047625,83.8920022249
1548930434259961192,0,4.23234421574,47.0660023689
1548930434381964200,0,4.22319272161,63.7960031927
1548930434461666567,0,5.13734395802,74.1870039701
1548930434583910109,0,6.59393792599,80.3870031834
1548930434663798266,0,4.00780352205,49.0580021143
1548930434785613122,0,2.22343887761,57.9090025425
1548930434789832676,0,3.49901803583,54.8450027704
1548930434865604563,0,3.49901803583,54.8450027704
1548930434988630581,0,3.98496875912,56.957003355
1548930435089757006,0,3.83142031264,43.0390010476
1548930435190608501,0,6.38907962851,79.0530033112
1548930435291519568,0,3.97111582756,49.6260035634
1548930435392489318,0,4.69719846547,80.0720049739
1548930435493428678,0,5.02905095369,66.8110022545
1548930435594432097,0,6.73542992771,78.1300028563
1548930435695416982,0,4.46293863654,53.549003005
1548930435796463519,0,2.41843567789,49.5770025253
1548930435897494168,0,3.7456789799,47.604002893
1548930435998416038,0,4.20248455554,55.8980033398
1548930436099329028,0,4.85422375053,52.3970024586
1548930436200409964,0,6.47175414488,89.2680058479
1548930436301366116,0,3.9847799819,49.4590030313
1548930436402229950,0,4.53431326151,78.0790040493
1548930436503339363,0,4.88497503474,64.0370036364
1548930436604507462,0,6.4078976512,79.5090022087
1548930436705262555,0,4.09950936586,51.292001456
1548930436806319864,0,1.79444483202,49.4720016122
1548930436907520887,0,3.93482301384,57.974003315
1548930437008237773,0,4.0602144748,50.4690024853
1548930437109289901,0,5.8134714351,64.4640026093
1548930437210278055,0,6.5330622308,85.9390027523
1548930437290246974,0,3.50337266643,43.2820011973
1548930437313430119,0,4.94555605203,74.2850029469
1548930437391123553,0,4.94555605203,74.2850029469
1548930437492251203,0,5.36349411123,71.232002914
1548930437593112300,0,6.34941569716,86.6350038052
1548930437694269830,0,3.37479391694,46.6540021896
1548930437795285365,0,2.47262851894,42.7510023117
1548930437896124214,0,4.39308596402,58.8360025883
1548930437997022163,0,3.96832723543,48.2860019207
1548930438119168605,0,6.52982384525,72.1650036573
1548930438199052939,0,5.7802501414,89.9990017414
1548930438321196391,0,3.60868786927,48.3950018287
1548930438400978255,0,5.65278667212,70.448002398
1548930438522923071,0,5.22843481228,58.6160023808
1548930438602955120,0,5.69653956499,74.1140042543
1548930438724932094,0,3.0940458728,46.2010027766
1548930438804861125,0,2.38368357718,45.720001936
1548930438926914192,0,7.60859906673,85.3510041237
1548930439006853484,0,6.30313524604,73.9250025749
1548930439129031028,0,5.90309791267,73.9740037918
